qid,wikidata_url,museum_url,slug,title,start_date,end_date,location,location_qid,curator,organizer,country,website,image,description
Q138651552,https://www.wikidata.org/wiki/Q138651552,https://www.sprengel-museum.de/ausstellungen/archiv/kresta,kresta,Martina Kresta,2007-07-17,2024-10-20,Sprengel Museum,Q510144,Alexander Leinemann,,,https://www.sprengel-museum.de/ausstellungen/archiv/kresta,,Austrian. contemporary artist
Q138573075,https://www.wikidata.org/wiki/Q138573075,https://www.sprengel-museum.de/ausstellungen/archiv/skulpturen-erfassen-2,skulpturen-erfassen-2,Skulpturen Erfassen,2024-11-13,2025-05-04,Sprengel Museum,Q510144,,,,https://www.sprengel-museum.de/ausstellungen/archiv/skulpturen-erfassen-2,,"In the exhibition SKULPTUREN ERFASSEN, important positions in modern sculpture come together at the Sprengel Museum Hannover: Tony Cragg, Richard Deacon, and Barbara Hepworth."
Q138572984,https://www.wikidata.org/wiki/Q138572984,https://www.sprengel-museum.de/ausstellungen/archiv/nordlichter,nordlichter,Nordlichter,2024-04-10,2024-07-28,Sprengel Museum,Q510144,Karin Orchard,,,https://www.sprengel-museum.de/ausstellungen/archiv/nordlichtery,,"Nordlichter, exhibition in the Sprengel Museum, Hanover, 2024"
Q138573017,https://www.wikidata.org/wiki/Q138573017,https://www.sprengel-museum.de/ausstellungen/archiv/burckhardt-blum,burckhardt-blum,Elsa Burckhardt-blum Zeichnungen,2024-10-09,2025-01-26,Sprengel Museum,Q510144,Karin Orchard,,,https://www.sprengel-museum.de/ausstellungen/archiv/burckhardt-blum,,Exhibition at the Sprenger Gallery featuring the drawings of Elsa BURCKHARDT-BLUM
Q138573242,https://www.wikidata.org/wiki/Q138573242,https://www.sprengel-museum.de/ausstellungen/archiv/joar-nango,joar-nango,Joar Nango,2024-09-28,2025-01-05,Sprengel Museum,Q510144,Carina Plath,,,https://www.sprengel-museum.de/ausstellungen/archiv/joar-nango,,art exhibition at Sprengel Museum Hannover
Q138572983,https://www.wikidata.org/wiki/Q138572983,https://www.sprengel-museum.de/ausstellungen/archiv/peter-tuma,peter-tuma,Peter Tuma Aufkommende Unruhe,2024-04-10,2024-07-28,Sprengel Museum,Q510144,Talia Walther,,,https://www.sprengel-museum.de/ausstellungen/archiv/peter-tuma,,"Peter Tuma Aufkommende Unruhe, Exhibition at the Sprengel Museum, Hannover, 2024"
Q139288222,https://www.wikidata.org/wiki/Q139288222,https://www.sprengel-museum.de/ausstellungen/archiv/thomas-rentmeister,thomas-rentmeister,Thomas Rentmeister,2024-09-01,2024-11-01,Sprengel Museum,Q510144,,,,https://www.sprengel-museum.de/ausstellungen/archiv/thomas-rentmeister,,art exhibition by Thomas Rentmeister in 2024
Q138572982,https://www.wikidata.org/wiki/Q138572982,https://www.sprengel-museum.de/ausstellungen/archiv/das-bild-ist-was-es-tut,das-bild-ist-was-es-tut,"Das Bild ist, was es tut",2024-08-21,2024-11-17,Sprengel Museum,Q510144,Inka Schube,,,https://www.sprengel-museum.de/ausstellungen/archiv/das-bild-ist-was-es-tut,,exhibition featuring works from the collection of the Lower Saxony Sparkassen Foundation at Sprengel Museum Hannover
Q138573169,https://www.wikidata.org/wiki/Q138573169,https://www.sprengel-museum.de/ausstellungen/archiv/jean-leppien,jean-leppien,Jean Leppien - The Donation,2024-03-16,2024-06-23,Sprengel Museum,Q510144,Carina Plath,,,https://www.sprengel-museum.de/ausstellungen/archiv/jean-leppien,,"Art Exhibition at the Sprengel Museum, Hanover"
Q138652122,https://www.wikidata.org/wiki/Q138652122,https://www.sprengel-museum.de/ausstellungen/archiv/raphael-denis,raphael-denis,Das normale Gesetz Der Fehler,2024-02-17,2024-05-26,Hanover,Q1715,,Sprengel Museum,,https://raphaeldenis.com/,,research and installation exhibition
Q138645279,https://www.wikidata.org/wiki/Q138645279,https://www.sprengel-museum.de/ausstellungen/archiv/phyllida-barlow-kurt-schwitters-preis-nsks,phyllida-barlow-kurt-schwitters-preis-nsks,Breach,2022-10-15,2023-03-19,Sprengel Museum,Q510144,Carina Plath,,,https://www.sprengel-museum.de/ausstellungen/archiv/phyllida-barlow-kurt-schwitters-preis-nsks,,"Phyllida Barlow: Breach Exhibition at the Sprengel Museum, Hanover, 2022"
